time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2010-07-05,97.87,97.935,97.87,97.915,0.05825,12.5,0.005,1.2538
2010-07-06,97.915,97.92,97.86,97.895,0.05725,12.5,0.005,1.2626
2010-07-07,97.9,97.92,97.875,97.885,0.05775,12.5,0.005,1.2638
2010-07-08,97.875,97.89,97.815,97.84,0.0585,12.5,0.005,1.2698
2010-07-09,97.84,97.885,97.805,97.865,0.06075,12.5,0.005,1.2641
2010-07-12,97.86,97.95,97.86,97.94,0.06275,12.5,0.005,1.2596
2010-07-13,97.94,97.97,97.895,97.91,0.06375,12.5,0.005,1.2724
2010-07-14,97.9,97.925,97.88,97.885,0.0645,12.5,0.005,1.2743
2010-07-15,97.91,97.925,97.87,97.885,0.06475,12.5,0.005,1.2950
2010-07-16,97.895,97.9,97.835,97.88,0.0645,12.5,0.005,1.2930
2010-07-19,97.88,97.89,97.845,97.86,0.064,12.5,0.005,1.2942
2010-07-20,97.86,97.905,97.855,97.895,0.06275,12.5,0.005,1.2880
2010-07-21,97.895,97.96,97.88,97.95,0.0655,12.5,0.005,1.2754
2010-07-22,97.955,98.01,97.955,97.98,0.0665,12.5,0.005,1.2893
2010-07-23,97.98,98.01,97.925,97.945,0.06675,12.5,0.005,1.2909
2010-07-26,97.93,97.955,97.875,97.89,0.06875,12.5,0.005,1.2994
2010-07-27,97.89,97.895,97.84,97.865,0.06925,12.5,0.005,1.2996
2010-07-28,97.865,97.91,97.86,97.885,0.06625,12.5,0.005,1.2995
2010-07-29,97.895,97.925,97.885,97.9,0.06275,12.5,0.005,1.3079
2010-07-30,97.915,97.985,97.905,97.965,0.0645,12.5,0.005,1.3052
2010-08-02,97.965,98,97.94,97.97,0.064,12.5,0.005,1.3179
2010-08-03,97.955,97.995,97.95,97.985,0.06325,12.5,0.005,1.3231
2010-08-04,97.985,98.005,97.945,97.965,0.064,12.5,0.005,1.3161
2010-08-05,97.955,97.975,97.905,97.94,0.06375,12.5,0.005,1.3189
2010-08-06,97.925,97.935,97.905,97.915,0.0615,12.5,0.005,1.3280
2010-08-09,97.91,97.94,97.89,97.93,0.0595,12.5,0.005,1.3222
2010-08-10,97.94,97.995,97.93,97.95,0.059,12.5,0.005,1.3177
2010-08-11,97.975,98.05,97.97,98.04,0.06175,12.5,0.005,1.2863
2010-08-12,98.045,98.09,98.025,98.065,0.06225,12.5,0.005,1.2829
