time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2015-01-23,98.217,98.257,98.167,98.217,0.085,15,0.005,0.7912
2015-01-26,98.217,98.277,98.217,98.277,0.0855,15,0.005,0.7925
2015-01-27,98.287,98.307,98.217,98.247,0.088,15,0.005,0.7937
2015-01-28,98.237,98.277,98.147,98.187,0.0905,15,0.005,0.7889
2015-01-29,98.177,98.357,98.167,98.347,0.0955,15,0.005,0.7762
2015-01-30,98.347,98.377,98.307,98.367,0.095,15,0.005,0.7762
2015-02-02,98.357,98.437,98.327,98.347,0.0965,15,0.005,0.7803
2015-02-03,98.347,98.537,98.317,98.507,0.1045,15,0.005,0.7793
2015-02-04,98.517,98.527,98.367,98.387,0.1065,15,0.005,0.7753
2015-02-05,98.387,98.477,98.377,98.427,0.1065,15,0.005,0.7798
2015-02-06,98.417,98.447,98.347,98.387,0.1095,15,0.005,0.7796
2015-02-09,98.387,98.397,98.297,98.337,0.1105,15,0.005,0.7802
2015-02-10,98.337,98.367,98.307,98.337,0.109,15,0.005,0.7771
2015-02-11,98.337,98.357,98.287,98.337,0.11,15,0.005,0.7718
2015-02-12,98.337,98.437,98.297,98.427,0.11,15,0.005,0.7735
2015-02-13,98.417,98.457,98.357,98.447,0.1065,15,0.005,0.7762
2015-02-16,98.447,98.447,98.407,98.427,0.104,15,0.005,0.7773
2015-02-17,98.417,98.457,98.397,98.437,0.104,15,0.005,0.7819
2015-02-18,98.437,98.437,98.357,98.407,0.105,15,0.005,0.7811
2015-02-19,98.407,98.467,98.377,98.457,0.103,15,0.005,0.7792
2015-02-20,98.457,98.467,98.407,98.437,0.1015,15,0.005,0.7842
2015-02-23,98.427,98.457,98.397,98.427,0.1015,15,0.005,0.7802
2015-02-24,98.417,98.457,98.407,98.437,0.0995,15,0.005,0.7831
2015-02-25,98.427,98.467,98.417,98.447,0.0955,15,0.005,0.7887
2015-02-26,98.447,98.517,98.437,98.507,0.09,15,0.005,0.78
2015-02-27,98.497,98.527,98.457,98.517,0.09,15,0.005,0.7808
2015-03-02,98.517,98.517,98.457,98.497,0.0875,15,0.005,0.7766
2015-03-03,98.487,98.527,98.397,98.437,0.083,15,0.005,0.7817
2015-03-04,98.437,98.457,98.377,98.387,0.079,15,0.005,0.7817
2015-03-05,98.377,98.417,98.347,98.367,0.0775,15,0.005,0.7782
2015-03-06,98.367,98.397,98.347,98.377,0.075,15,0.005,0.7716
2015-03-09,98.377,98.377,98.277,98.307,0.075,15,0.005,0.7702
2015-03-10,98.302,98.342,98.297,98.337,0.07425,15,0.005,0.7626
2015-03-11,98.337,98.412,98.332,98.407,0.07475,15,0.005,0.7596
2015-03-12,98.402,98.457,98.367,98.452,0.07225,15,0.005,0.7708
2015-03-13,98.452,98.462,98.372,98.397,0.07175,15,0.005,0.7637
2015-03-16,98.402,98.447,98.362,98.447,0.074,15,0.005,0.764
2015-03-17,98.442,98.452,98.392,98.422,0.074,15,0.005,0.7617
